index	Year	Type	Country	Activity	Injury	Fatal	NOT Fatal	Boating	Invalid
1314	2011	Invalid	MEXICO	Shark diving	White shark breached cage. No injury to occupants	0	0	0	1
1315	2007	Unprovoked	USA	Floating	Lacerations to left lower leg	0	1	0	0
1316	2007	Unprovoked	AUSTRALIA	Surf-skiing	small laceration to wrist	0	1	0	0
1317	2007	Unprovoked	AUSTRALIA	Spearfishing	Laceration to calf	0	1	0	0
1318	2007	Unprovoked	USA	Surfing	4 scratches on left hand	0	1	0	0
1319	2007	Unprovoked	USA	Surfing	Severe lacerations to right hand	0	1	0	0
1320	2007	Unprovoked	USA	Surfing	Puncture wound to foot	0	1	0	0
1321	2007	Sea Disaster	PHILIPPINES	The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas 	FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks	1	0	0	0
1322	2007	Unprovoked	NEW CALEDONIA	Swimming	FATAL	1	0	0	0
1323	2007	Unprovoked	BAHAMAS	Spearfishing	Thigh bitten	0	1	0	0
1324	2007	Unprovoked	USA	Surfing	No injury to surfer, surfboard bitten	0	1	0	0
1325	2007	Unprovoked	EGYPT	Swimming	Severe lacerations to lower left leg, ankle and foot	0	1	0	0
1326	2007	Invalid	USA	Scuba diving	Shark involvement prior to death unconfirmed	0	0	0	1
1327	2007	Unprovoked	USA	Surfing	Laceration to foot	0	1	0	0
1328	2007	Unprovoked	USA	Surfing	Small lacerations to bottom of right big toe	0	1	0	0
1329	2007	Unprovoked	SOLOMON ISLANDS	Spearfishing	Left thigh bitten	0	1	0	0
1330	2007	Unprovoked	USA	Wading?	Laceration to right heel	0	1	0	0
1331	2007	Unprovoked	USA	Surfing	No injury, surfboard bitten	0	1	0	0
1332	2007	Unprovoked	USA	Snorkeling	Minor injury, shark latched onto his abdomen	0	1	0	0
1333	2007	Unprovoked	USA	Wading	Puncture wounds & 2-inch laceration to calf	0	1	0	0
1334	2007	Unprovoked	USA	Wading	Laceration to right big toe	0	1	0	0
1335	2007	Unprovoked	USA	Standing	Lacerations to left calf and both feet 	0	1	0	0
1336	2007	Unprovoked	USA	Jumping	Tiny punctures to arm	0	1	0	0
1337	2007	Unprovoked	USA	Swimming	"3"" laceration to left forearm"	0	1	0	0
1338	2007	Unprovoked	USA	Body boarding	Laceration to right heel	0	1	0	0
1339	2007	Unprovoked	USA	Surfing	Lacerations to thigh & torso	0	1	0	0
1340	2007	Unprovoked	USA	Surfing	Left hand  bitten	0	1	0	0
1341	2007	Unprovoked	USA	Surfing	 6 lacerations to left hand	0	1	0	0
1342	2007	Provoked	USA	Diving	Minor injury from captive shark PROVOKED INCIDENT	0	1	0	0
1343	2007	Provoked	USA	Fishing	Forearm bitten by hooked shark PROVOKED INCIDENT	0	1	0	0
1344	2007	Unprovoked	USA	Swimming	Torso bitten	0	1	0	0
1345	2007	Unprovoked	USA	Surfing	Foot bitten	0	1	0	0
1346	2007	Unprovoked	USA	Playing	Right calf bitten	0	1	0	0
1347	2007	Unprovoked	USA	Floating near boat & observing bioluminesce	Puncture wounds to torso	0	1	0	0
1348	2007	Unprovoked	USA	Swimming	Minor injury, small lacerations to right foot	0	1	0	0
1349	2007	Unprovoked	USA	Walking out of the water after surfing	Minor injury, lacerations to left ankle & foot 	0	1	0	0
1350	2007	Unprovoked	USA	Swimming	Lacerations to right foot	0	1	0	0
1351	2007	Unprovoked	USA	Boogie Boarding	Lacerations to lower leg & ankle	0	1	0	0
1352	2007	Unprovoked	USA	Jumped into the water	Lacerations to arm	0	1	0	0
1353	2007	Unprovoked	USA	Surfing	Minor injury to shoulder	0	1	0	0
1354	2007	Unprovoked	USA	Surfing	No injury, shark bit surfboard	0	1	0	0
1355	2007	Unprovoked	USA	Surf paddling	No injury, surfboard bumped by shark for 20 minutes	0	1	0	0
1356	2007	Boating	USA	Kayak Fishing	No injury, kayak bitten	0	0	1	0
1357	2007	Unprovoked	USA	Snorkeling	Left calf severely bitten	0	1	0	0
